key,name,pos,team,pass_tds,pass_yds,pass_ints,rush_tds,rush_yds,receptions,reception_tds,reception_yds,two_pts,fumbles,kick_0_19,kick_20_29,kick_30_39,kick_40_49,kick_50,kick_extra_points,df_points_allowed_per_game,df_sacks,df_safeties,df_fumbles,df_tds,df_ints
mcgowan_RB_IND,Seth McGowan,RB,IND,,,,2,142,2,0,25,,0,,,,,,,,,,,,
demercado_RB_DAL,Emari Demercado,RB,DAL,,,,0,206,5,0,41,,0,,,,,,,,,,,,
tucker_RB_TB,Sean Tucker,RB,TB,,,,2,145,1,0,6,,0,,,,,,,,,,,,
allen_RB_WSH,Kaytron Allen,RB,WSH,,,,1,171,2,0,22,,0,,,,,,,,,,,,
saylors_RB_DET,Jacob Saylors,RB,DET,,,,1,136,4,0,40,,0,,,,,,,,,,,,
abdullah_RB_JAX,Ameer Abdullah,RB,JAX,,,,1,71,8,0,56,,0,,,,,,,,,,,,
burton_RB_CLE,Michael Burton,RB,CLE,,,,1,10,6,1,40,,0,,,,,,,,,,,,
kiner_RB_NE,Corey Kiner,RB,NE,,,,1,151,2,0,20,,0,,,,,,,,,,,,
beck_RB_NYJ,Andrew Beck,RB,NYJ,,,,0,8,5,2,35,,0,,,,,,,,,,,,
estime_RB_NO,Audric Estime,RB,NO,,,,1,122,3,0,24,,0,,,,,,,,,,,,
coleman_RB_DEN,Jonah Coleman,RB,DEN,,,,1,134,3,0,23,,0,,,,,,,,,,,,
ali_RB_BAL,Rasheen Ali,RB,BAL,,,,0,47,7,1,53,,0,,,,,,,,,,,,
holani_RB_SEA,George Holani,RB,SEA,,,,1,118,4,0,30,,0,,,,,,,,,,,,
johnson_RB_KC,Emmett Johnson,RB,KC,,,,1,126,2,0,23,,0,,,,,,,,,,,,
claiborne_RB_MIN,Demond Claiborne,RB,MIN,,,,1,134,2,0,21,,0,,,,,,,,,,,,
miller_RB_NO,Kendre Miller,RB,NO,,,,1,127,2,0,11,,0,,,,,,,,,,,,
singleton_RB_TEN,Nicholas Singleton,RB,TEN,,,,1,104,2,0,21,,0,,,,,,,,,,,,
heidenreich_RB_PIT,Eli Heidenreich,RB,PIT,,,,1,117,2,0,21,,0,,,,,,,,,,,,
sanders_RB_CLE,Raheim Sanders,RB,CLE,,,,1,107,2,0,17,,0,,,,,,,,,,,,
knight_RB_ARI,Zonovan Knight,RB,ARI,,,,1,86,3,0,20,,0,,,,,,,,,,,,
luepke_RB_DAL,Hunter Luepke,RB,DAL,,,,0,77,8,0,67,,0,,,,,,,,,,,,
singletary_RB_NYG,Devin Singletary,RB,NYG,,,,1,130,1,0,10,,0,,,,,,,,,,,,
giddens_RB_IND,DJ Giddens,RB,IND,,,,1,133,1,0,11,,0,,,,,,,,,,,,
shipley_RB_PHI,Will Shipley,RB,PHI,,,,0,106,6,0,38,,0,,,,,,,,,,,,
davis_RB_BUF,Ray Davis,RB,BUF,,,,0,163,2,0,18,,0,,,,,,,,,,,,
nacua_WR_LAR,Puka Nacua,WR,LAR,,,,2,108,130,9,1699,,1,,,,,,,,,,,,
smithnjigba_WR_SEA,Jaxon Smith-Njigba,WR,SEA,,,,0,36,111,12,1608,,1,,,,,,,,,,,,
chase_WR_CIN,Ja'Marr Chase,WR,CIN,,,,0,19,128,10,1553,,1,,,,,,,,,,,,
brown_WR_DET,Amon-Ra St. Brown,WR,DET,,,,0,8,115,11,1370,,0,,,,,,,,,,,,
rice_WR_KC,Rashee Rice,WR,KC,,,,2,35,104,13,1049,,0,,,,,,,,,,,,
pickens_WR_DAL,George Pickens,WR,DAL,,,,0,-1,93,10,1384,,0,,,,,,,,,,,,
olave_WR_NO,Chris Olave,WR,NO,,,,0,0,100,11,1254,,0,,,,,,,,,,,,
london_WR_ATL,Drake London,WR,ATL,,,,0,0,94,12,1257,,1,,,,,,,,,,,,
brown_WR_NE,A.J. Brown,WR,NE,,,,0,0,91,9,1330,,0,,,,,,,,,,,,
lamb_WR_DAL,CeeDee Lamb,WR,DAL,,,,0,25,101,6,1331,,0,,,,,,,,,,,,
collins_WR_HOU,Nico Collins,WR,HOU,,,,1,13,82,9,1247,,1,,,,,,,,,,,,
jefferson_WR_MIN,Justin Jefferson,WR,MIN,,,,0,6,91,7,1274,,0,,,,,,,,,,,,
flowers_WR_BAL,Zay Flowers,WR,BAL,,,,1,60,83,8,1183,,2,,,,,,,,,,,,
nabers_WR_NYG,Malik Nabers,WR,NYG,,,,0,2,80,11,1034,,0,,,,,,,,,,,,
mcmillan_WR_CAR,Tetairoa McMillan,WR,CAR,,,,0,0,82,8,1172,,1,,,,,,,,,,,,
higgins_WR_CIN,Tee Higgins,WR,CIN,,,,0,0,74,11,1035,,0,,,,,,,,,,,,
